"","Baseline (N = 70) ","8 weeks (n = 50) ","12 weeks (n = 44) ","24 weeks (n = 38) ","52 weeks (n = 29) ",Baseline (N = 70) :0,Baseline (N = 70) :1,Baseline (N = 70) :2,8 weeks (n = 50) :0,8 weeks (n = 50) :1,8 weeks (n = 50) :2,12 weeks (n = 44) :0,12 weeks (n = 44) :1,12 weeks (n = 44) :2,24 weeks (n = 38) :0,24 weeks (n = 38) :1,24 weeks (n = 38) :2,52 weeks (n = 29) :0,52 weeks (n = 29) :1,52 weeks (n = 29) :2
"",,,,,,,,,,,,,,,,,,,
42.7 (11.8),24.66 (1.69),,,,42.7,11.8,42.7,24.66,1.69,24.66,,,,,,,,,
41.0(11.0),24.67 (1.80),,,,41.0,11.0,41.0,24.67,1.80,24.67,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
6.69 (0.70),6.54 (0.16)^{a},,,,6.69,0.70,6.69,6.54,0.16,6.54,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
4563.6 (1279.3),3718 (1271)^{a},,,,4563.6,1279.3,4563.6,3718,1271,3718,,,,,,,,,
5257.9 (1565.9),4365 (1518)^{a},,,,5257.9,1565.9,5257.9,4365,1518,4365,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
580.2 (84.5),624.84 (8.17)^{a} ^{2},,,,580.2,84.5,580.2,624.84,8.17,2,,,,,,,,,
573.9 (69.1),594.13 (8.96)^{a},,,,573.9,69.1,573.9,594.13,8.96,594.13,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
2.09 (0.9),3.45 (0.14)^{a},,,,2.09,0.9,2.09,3.45,0.14,3.45,,,,,,,,,
3.0 (0.9),3.50 (0.15) ^{a},,,,3.0,0.9,3.0,3.50,0.15,3.50,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
2.4 (1.1),3.37 (0.19) ^{a},,,,2.4,1.1,2.4,3.37,0.19,3.37,,,,,,,,,
2.4 (0.9),2.87 (0.21)^{a},,,,2.4,0.9,2.4,2.87,0.21,2.87,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
2.9 (1.11),2.84 (0.16)^{a} ^{3},,,,2.9,1.11,2.9,2.84,0.16,3,,,,,,,,,
2.2 (0.9),2.27 (0.18)^{a},,,,2.2,0.9,2.2,2.27,0.18,2.27,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
2.1 (1.2),3.56 (0.17) ^{a},,,,2.1,1.2,2.1,3.56,0.17,3.56,,,,,,,,,
2.0 (0.9),3.53 (0.18)^{a},,,,2.0,0.9,2.0,3.53,0.18,3.53,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,
2.5 (1.1),2.53 (0.15) ^{a},,,,2.5,1.1,2.5,2.53,0.15,2.53,,,,,,,,,
"Note. CO = carbon monoxide; HADS-D = Hospital Anxiety Depression Scale–Depression subscale; HADS-A = Hospital Anxiety Depression Scale–
Anxiety subscale; NRT = Nicotine Replacement Therapy; TCQ 12 = Tobacco Craving Questionnaire; SSQ-12 = Smoking Self-Efficacy Questionnaire; PSPP
= Physical Self-Perception Profile; GCS = global self-concept; PSW = physical self-worth; PPC = perceived physical condition; PS = perceived strength; SC
= sport competence; SF-12 = Short-Form Health Survey 12; IPAQ-SF = International Physical Activity Questionnaire–Short Form; log MVPA = logarithms
of moderate vigorous physical activity; 6MWT = 6-Minute Walk Test.
^{1 Participants categorized as high in physical activity based on the IPAQ-SF scoring algorithm.}
^{2 M _{diff}} = 30.7 (SD = 12.1); F(1, 43) = 6.38, p = .015, partial η = 0.13.^{2}
^{3 M _{diff}} = .57 (SD = .24); F(1, 43) = 5.16, p = .028, partial η = 0.10.^{2}
^{a Adjusted means.}
^{b Data were available on 50% of the trial participants from both randomized groups who had at least 5 days with > 10 hours of usable accelerometer data.}
"
